id;name;description;brand;price;manufacturing_date;expiring_date;warranty;image_link;image;image_content_type
1;Generic Steel Tuna;website calculating;cross-platform support;98666;2020-07-26T08:27:32;2020-07-26T18:19:21;wireless Computer;Legacy Dynamic magenta;../fake-data/blob/hipster.png;image/png
2;THX actuating;deposit Division Rustic Steel Soap;withdrawal navigating Metical;43291;2020-07-27T00:25:39;2020-07-26T19:03:00;Democratic People's Republic of Korea Internal compressing;withdrawal Bedfordshire;../fake-data/blob/hipster.png;image/png
3;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;4329;2020-07-27T01:44:25;2020-07-26T22:47:27;Licensed Wooden Computer;CFP Franc aggregate;../fake-data/blob/hipster.png;image/png
4;Security;Data Identity;Dynamic auxiliary;85535;2020-07-26T04:58:14;2020-07-26T06:00:35;Personal Loan Account yellow;Cape Verde;../fake-data/blob/hipster.png;image/png
5;intangible homogeneous;Crossroad invoice;Liaison;22423;2020-07-26T22:53:13;2020-07-26T23:10:07;Central Ergonomic Concrete Ball;pixel Gorgeous Rubber Cheese quantifying;../fake-data/blob/hipster.png;image/png
6;cross-platform;multi-byte online Forward;open-source;82676;2020-07-26T22:38:00;2020-07-27T00:40:06;Arizona Buckinghamshire;Practical AGP Implementation;../fake-data/blob/hipster.png;image/png
7;wireless navigate grey;solution Automotive;e-commerce Ergonomic Concrete Salad;26246;2020-07-27T00:27:14;2020-07-27T01:04:32;Ergonomic Metal Keyboard full-range Cambridgeshire;Chair National Ukraine;../fake-data/blob/hipster.png;image/png
8;Associate Games;Balboa US Dollar Usability transmit;Incredible Steel Soap Outdoors;84724;2020-07-26T04:55:46;2020-07-26T14:03:32;Industrial Rustic;magenta;../fake-data/blob/hipster.png;image/png
9;transitional;optical Practical;Solutions interactive International;80985;2020-07-26T15:33:50;2020-07-26T07:42:59;Checking Account Vista;Bedfordshire Product;../fake-data/blob/hipster.png;image/png
10;invoice;open system Security;Colombian Peso Unidad de Valor Real executive;30266;2020-07-26T07:46:56;2020-07-26T02:48:31;Sleek Gateway program;invoice index Borders;../fake-data/blob/hipster.png;image/png
